0	748
0.25	704
0.5	660
0.75	630
1	600
1.25	605
1.5	610
1.75	588
2	566
2.25	568
2.5	570
2.75	554
3	538
3.25	539
3.5	540
3.75	536.5
4	533
4.25	532
4.5	531
4.75	525
5	519
5.25	519
5.5	519
5.75	519.5
6	520
6.25	517.5
6.5	515
6.75	553.5
7	592
7.25	586
7.5	580
7.75	626
8	672
8.25	669
8.5	666
8.75	678
9	690
9.25	693
9.5	696
9.75	703
10	710
10.25	703
10.5	724
10.75	717
11	740
11.25	732
11.5	739
11.75	739.5
12	735
12.25	737
12.5	750
12.75	742.5
13	770
13.25	760
13.5	771
13.75	770.5
14	770
14.25	771
14.5	772
14.75	773
15	774
15.25	772.5
15.5	771
15.75	772.5
16	773
16.25	771.5
16.5	770
16.75	771.5
17	773
17.25	776.5
17.5	780
17.75	815
18	850
18.25	841.5
18.5	833
18.75	852.5
19	872
19.25	871
19.5	870
19.75	883
20	896
20.25	898
20.5	900
20.75	899
21	898
21.25	896.5
21.5	895
21.75	880.5
22	866
22.25	839.5
22.5	813
22.75	807.5
23	802
23.25	767.5
23.5	733
23.75	740.5
24	748
